,name,new_price,old_price,discount,rating,votes
254,"Vitron HTC4068S, 40"" Inch Frameless Television Smart Android TV Television HDTV Netflix, Youtube Inbuilt Decoder+FREE Wall Bracket","KSh 21,299","KSh 27,000",21%,4.5 out of 5,4.5 out of 5(36)
255,Lexar NS100 2.5” SATA Internal SSD 256GB,"KSh 4,299","KSh 6,800",37%,4.7 out of 5,4.7 out of 5(6)
256,AILYONS Cordless Electric Water Kettle  With FREE Extension Cable,"KSh 1,290","KSh 2,099",39%,5 out of 5,5 out of 5(2)
257,Wall Mounted Manual Soap Dispenser,"KSh 1,139",,,4 out of 5,4 out of 5(1)
258,Amazing 2 Pcs Kitchen Non Slip Mat.,"KSh 1,599","KSh 2,000",20%,4 out of 5,4 out of 5(6)
259,Barber Shaving Gown - Salon Draper,KSh 800,,,5 out of 5,5 out of 5(2)
260,Vitron VDR128DS Double Door Refrigerator-Silver,"KSh 34,799","KSh 60,000",42%,4 out of 5,4 out of 5(1)
261,Fashion Mannequin Dummy Head Holder Or Clamp,KSh 650,"KSh 1,000",35%,3.7 out of 5,3.7 out of 5(7)
262,Fashion Luxury Tassel Earrings Long Rhinestone Earrings,KSh 283,KSh 326,13%,4.6 out of 5,4.6 out of 5(18)
263,Revlon ColorStay Endless Glow™ Liquid Highlighter Gold,"KSh 3,110",,,3.8 out of 5,3.8 out of 5(6)
264,Nunix  Table Top Cooker 3 Gas + 1 Electric Burner Stove,"KSh 5,897","KSh 9,000",34%,5 out of 5,5 out of 5(1)
265,Set Of 6 Beautiful Dinner Serving Ceramic Plates,"KSh 1,600","KSh 2,000",20%,3.7 out of 5,3.7 out of 5(15)
