,name,new_price,old_price,discount,rating,votes
159,Big Transport Car Toy Container Carrier Truck Vehicles with 12PCS Mini Car Helicopter Model Toys for Children Boys Gifts,4479.0,,,,
160,FPV Goggles 3 Inch 480X320 5.8G 40CH Auto-Searching EU,7949.0,"KSh 15,898",50%,,
161,Belly Wheel Automatic Rebound Mute Abdominal Exerciser,6071.0,"KSh 10,928",44%,,
162,150cm White Gloss Self Adhesive Car Vinyl Film Sticker Tint DIY Sign Sticky Wrap,760.0,"KSh 1,520",50%,,
163,"Type-C to 3.5mm HiFi Digital Headphone Amplifier CS46L41 Chip Decoding DAC Audio Adapter Cable for Android Win10, C-Type",2090.0,"KSh 4,180",50%,,
164,3D Mobile Phone Screen Magnifier Hd Video,2499.0,"KSh 4,300",42%,,
165,Car LED Digital Voltmeter DC 12V/24V LED Dual Voltmeter Ammeter Green,743.0,"KSh 1,405",47%,,
166,"Wedding Ring Pillow, Vintage Rustic Ring Bearer Lace Bow Flower Bridal Ring Holder Cushion for Wedding Ceremony 5.9 Inch",1048.0,"KSh 2,096",50%,,
167,Item New Battery Door Cover for Canon 550D Camera Repair,238.0,KSh 450,47%,,
168,DDR2 4GB Memory Ram+Cooling Vest 800MHz PC2-6400 240 Pin 1.8V DIMM for AMD Desktop PC Ram,1993.0,"KSh 3,985",50%,,
169,4X Iridium Spark Plugs 90919 SK20R11 for Toyota Camry RAV4 Avalon,1756.0,"KSh 3,512",50%,,
170,Throat Microphone Vibration Headset Earpiece for Two Way Radio Baofeng Uv-5R Uv-82 Uv-B6 Bf-888S Walkie Talkie Earphone,786.0,"KSh 1,571",50%,,
171,100G x 0.01G Digital Kitchen Scale Jewelry Gold Balance Weight Gram LCD Pocket Weighting Electronic Scales,1147.0,"KSh 2,294",50%,,
172,915 Generation Pet Dog Puppy Gerbil Hamster Cage Water Feeder Bottle,459.0,KSh 872,47%,,
173,Mens Ice Silk Low  Briefs Underwear String Bikini Adjustable Black,611.0,KSh 733,17%,,
174,6PCS PU Leather Marble Coaster Drink Coffee Cup Mat Easy to Clean Placemats Round Tea Pad Table Pad Holder -4,1278.0,"KSh 2,556",50%,,
175,30Pcs Pampa Decoration Communis Phragmites Pampas Grass Large Bouquet Bulrush Wedding Decor Reeds Flower Home-B,1862.0,,,,
176,"W3230 Probe Line 20A Digital Temperature Control LED Display Thermostat Heat/Cooling Control Instrument,AC110-220V 1500W",674.0,"KSh 1,348",50%,,
177,Dough Hook&Flex Edge Beater/Stand Mixer Parts for KitchenAid 4.5-5 Qt Food Processor Accessory Flex Edge Bowl Scraper,2951.0,"KSh 5,843",49%,,
178,Engine Timing Chain Kit Compatible with for Honda Fit 2009-2013 CR-Z 2011-2014 L4 1.5L SOHC 6-PC Set 14401-RB1-003,10356.0,"KSh 18,848",45%,,
179,915 Generation Mini Mirror Clip USB Digital Mp3 Music Player Support 8GB,318.0,KSh 586,46%,,
180,Bait Casters Reel Combo Bearings Saltwater Corrosion  Left Handed,2176.0,"KSh 3,046",29%,,
181,DC 0-99.9V 3 Wire LED Digital Display Panel Volt Meter Voltage Voltmeter Car Motor - GREEN,407.0,KSh 813,50%,,
182,Fruit Of The Wokali Waist & Belly Cream Natural Weigh Loss & Flat Tummy..-,467.0,KSh 999,53%,,
183,Camera Lens Vacuum Travel Coffee Mugs,1498.0,"KSh 2,500",40%,,
184,Jumia Books Marvel Thor Ragnarok Almighty Activities,395.0,,,,
185,10 Pack P Touch Label Maker Tape Replacement for Brother TZe-231 TZe Tz Tape 12mm 0.47 Laminated White Label Refills,4580.0,"KSh 8,793",48%,,
186,"Sewing Thimbles,Retro Sewing Thimble Finger Protector",252.0,KSh 503,50%,,
187,60b76986ece4c32a14544569 Blank Blank Blank Blank Blank For Upper Jaw,299.0,KSh 419,29%,,
188,Off Shoulder Maternity Solid Color Sexy Maxi Dress Causal Pregancy Dress,2705.0,"KSh 5,275",49%,5 out of 5,5 out of 5(1)
189,915 Generation Watch Repair Tool Kit Watchmaker Link Pin Remover Case Opene,3825.0,"KSh 6,694",43%,,
